"","asset","month","year","Low","High","Close","MA3","MA6","MA9","growth","date"
"1","BUFTX",4,2001,10.02,11.37,6.556875,NA,NA,NA,NA,2001-04-01
"2","BUFTX",5,2001,10.66,12.01,6.245466,NA,NA,NA,-0.0474935087217614,2001-05-01
"3","BUFTX",6,2001,10.27,11.92,6.193565,6.33196866666667,NA,NA,-0.00831018854317676,2001-06-01
"4","BUFTX",7,2001,9.75,10.78,5.997493,6.145508,NA,NA,-0.0316573734190244,2001-07-01
"5","BUFTX",8,2001,9.53,10.77,5.570748,5.920602,NA,NA,-0.071153897136687,2001-08-01
"6","BUFTX",9,2001,7.41,9.43,4.451985,5.34007533333333,5.836022,NA,-0.200828147315226,2001-09-01
"7","BUFTX",10,2001,7.57,9.56,5.172838,5.06519033333333,5.60534916666667,NA,0.161917212209834,2001-10-01
"8","BUFTX",11,2001,9.32,10.32,5.841789,5.15553733333333,5.53806966666667,NA,0.129319920708903,2001-11-01
"9","BUFTX",12,2001,9.87,10.91,5.853322,5.62264966666667,5.4813625,5.76489788888889,0.00197422399199971,2001-12-01
"10","BUFTX",1,2002,9.71,10.75,5.830255,5.84178866666667,5.4534895,5.68416233333333,-0.00394083906540596,2002-01-01
"11","BUFTX",2,2002,9.1,10.08,5.270874,5.65148366666667,5.4035105,5.57587433333333,-0.095944517006546,2002-02-01
"12","BUFTX",3,2002,9.66,10.57,5.870623,5.65725066666667,5.63995016666667,5.53999188888889,0.113785493639195,2002-03-01
"13","BUFTX",4,2002,8.74,10.28,5.120937,5.42081133333333,5.6313,5.44259677777778,-0.12770126782115,2002-04-01
"14","BUFTX",5,2002,8.1,9.18,4.792228,5.26126266666667,5.45637316666667,5.35609455555556,-0.0641892294320356,2002-05-01
"15","BUFTX",6,2002,6.73,8.02,4.036774,4.64997966666667,5.15361516666667,5.30996,-0.157641497858616,2002-06-01
"16","BUFTX",7,2002,5.77,6.94,3.558128,4.12904333333333,4.77492733333333,5.13054777777778,-0.118571413708075,2002-07-01
